0;word;слово;frequency;sentiment
1;possible;возможный;446;1
2;use;использование;12;0
3;i;я;2641;0
4;here;Вот;309;0
5;equal;равный;12;0
6;exact;точный;24;1
7;save;спасти;23;0
8;entire;все;37;0
9;valid;действительный;32;1
10;invalid;недействительным;19;-10
11;most;самый;65;1
12;small;маленький;64;-1
13;now;сейчас;415;-1
14;more;Больше;280;0
15;less;Меньше;33;-1
16;already;уже;141;0
17;there;там;522;0
18;best;Лучший;232;1
19;refresh;обновление;14;1
20;floated;;1;0
21;not;не;2226;-1
22;only;только;701;1
23;new;новый;910;1
24;old;старый;89;-1
25;sample;образец;77;0
26;better;лучше;81;1
27;perhaps;возможно;23;-1
28;right;право;219;1
29;visual;визуальный;105;0
30;live;жить;9;-1
31;yet;еще;31;0
32;ready;готовы;13;1
33;so;так;589;0
34;disable;запрещать;24;-1
35;automatic;автоматический;18;1
36;temporarily;;5;-1
37;also;также;529;1
38;web;Web;161;0
39;table;Таблица;83;0
40;newly;вновь;18;1
41;f;е;25;0
42;top;Топ;72;0
43;weird;странный;17;-1
44;least;наименее;40;-1
45;once;один раз;78;0
46;filter;фильтр;44;0
47;properly;должным образом;71;1
48;hardly;;2;-1
49;intended;предназначена;7;0
50;current;ток;207;0
51;required;требуется;24;-1
52;row;строка;13;0
53;directly;непосредственно;57;0
54;significant;значительное;7;0
55;additional;дополнительный;77;0
56;always;всегда;141;1
57;load;нагрузка;17;-1
58;evaluate;;1;0
59;public;общественности;197;0
60;partial;частичный;36;0
61;total;Всего;69;1
62;context;контекст;20;0
63;various;различный;40;0
64;main;главный;150;0
65;standard;стандарт;61;1
66;add;добавлять;56;-1
67;serious;;6;0
68;due;в связи;35;0
69;thus;таким образом;28;0
70;much;много;102;1
71;large;большой;56;1
72;really;действительно;90;0
73;even;четное;206;-1
74;still;еще;177;0
75;basically;в принципе;34;0
76;advanced;;3;0
77;as;как;207;0
78;full;полный;67;1
79;blown;;1;0
80;hello;Привет;68;-10
81;attached;приложенный;312;0
82;enable;включить;21;0
83;disabled;отключен;28;-1
84;first;первый;424;0
85;separate;отдельный;48;0
86;receive;;2;0
87;second;второй;193;0
88;positive;;4;0
89;double;двойной;74;0
90;touch;потрогать;15;0
91;other;Другой;460;0
92;last;прошлой;145;-1
93;focused;сосредоточены;32;0
94;again;снова;180;-1
95;next;следующий;123;0
96;exist;;2;0
