word;frequency;sentiment
possible;446;0;
use;12;0;
i;2641;0;
here;309;0;
equal;12;0;
exact;24;0;
save;23;0;
entire;37;0;
valid;32;0;
invalid;19;0;
most;65;0;
small;64;0;
now;415;0;
more;280;0;
less;33;0;
already;141;0;
there;522;0;
best;232;0;
refresh;14;0;
floated;1;0;
not;2226;0;
only;701;0;
new;910;0;
old;89;0;
sample;77;0;
better;81;0;
perhaps;23;0;
right;219;0;
visual;105;0;
live;9;0;
yet;31;0;
ready;13;0;
so;589;0;
disable;24;0;
automatic;18;0;
temporarily;5;0;
also;529;0;
web;161;0;
table;83;0;
newly;18;0;
f;25;0;
top;72;0;
weird;17;0;
least;40;0;
once;78;0;
filter;44;0;
properly;71;0;
hardly;2;0;
intended;7;0;
current;207;0;
required;24;0;
row;13;0;
directly;57;0;
significant;7;0;
additional;77;0;
always;141;0;
load;17;0;
evaluate;1;0;
public;197;0;
partial;36;0;
total;69;0;
context;20;0;
various;40;0;
main;150;0;
standard;61;0;
add;56;0;
serious;6;0;
due;35;0;
thus;28;0;
much;102;0;
large;56;0;
really;90;0;
even;206;0;
still;177;0;
basically;34;0;
advanced;3;0;
as;207;0;
full;67;0;
blown;1;0;
hello;68;0;
attached;312;0;
enable;21;0;
disabled;28;0;
first;424;0;
separate;48;0;
receive;2;0;
second;193;0;
positive;4;0;
double;74;0;
touch;15;0;
other;460;0;
last;145;0;
focused;32;0;
again;180;0;
next;123;0;
exist;2;0;
very;231;0;
critical;11;0;
down;33;0;
relevant;15;0;
same;584;0;
true;484;0;
please;55;0;
search;7;0;
user;109;0;
either;5;0;
multiple;126;0;
then;653;0;
tab;15;0;
address;5;0;
lots;1;0;
primary;12;0;
single;116;0;
able;395;0;
initial;50;0;
active;45;0;
x;57;0;
return;5;0;
welcome;2;0;
visible;255;0;
thanks;6;0;
good;110;0;
correctly;178;0;
whole;56;0;
soon;51;0;
wrong;162;0;
update;53;0;
fine;222;0;
certain;69;0;
exception;2;0;
related;38;0;
strongly;2;0;
typed;1;0;
loading;22;0;
following;243;0;
just;383;0;
odd;9;0;
back;148;0;
different;275;0;
vary;1;0;
red;42;0;
chart;18;0;
focus;3;0;
nearly;8;0;
local;30;0;
label;17;0;
expected;12;0;
calculated;23;0;
short;21;0;
empty;118;0;
furthermore;3;0;
blank;36;0;
big;42;0;
apply;8;0;
helper;5;0;
column;9;0;
almost;26;0;
impossible;26;0;
many;155;0;
open;128;0;
currently;177;0;
original;42;0;
w;7;0;
instead;191;0;
correct;106;0;
strange;45;0;
originally;7;0;
p;12;0;
dear;60;0;
specific;110;0;
bigger;13;0;
flexible;6;0;
special;31;0;
direct;15;0;
complex;25;0;
false;271;0;
key;60;0;
simple;141;0;
bad;12;0;
component;16;0;
successfully;20;0;
several;95;0;
later;30;0;
latest;39;0;
long;50;0;
officially;1;0;
no;37;0;
longer;55;0;
older;14;0;
present;28;0;
anywhere;13;0;
non;54;0;
virtual;21;0;
relatively;7;0;
curious;3;0;
unknown;26;0;
twice;15;0;
cant;6;0;
similar;117;0;
sure;76;0;
lucid;1;0;
difficult;28;0;
however;305;0;
tree;43;0;
too;92;0;
slow;40;0;
huge;9;0;
quite;45;0;
previous;79;0;
real;35;0;
anyway;29;0;
vertical;42;0;
likely;10;0;
unfortunately;44;0;
smart;9;0;
easy;38;0;
custom;72;0;
elsewhere;7;0;
own;107;0;
recent;9;0;
such;81;0;
horizontal;27;0;
negative;14;0;
validated;2;0;
private;53;0;
object;193;0;
entered;7;0;
specified;8;0;
ahead;3;0;
well;171;0;
actual;43;0;
actually;73;0;
little;47;0;
somewhat;3;0;
type;38;0;
dimensional;3;0;
constantly;3;0;
updated;19;0;
populated;2;0;
further;29;0;
eventually;5;0;
finished;1;0;
automatically;83;0;
t;256;0;
arrow;6;0;
logic;10;0;
afraid;3;0;
cellular;1;0;
input;2;0;
cannot;18;0;
register;1;0;
native;85;0;
global;19;0;
e;97;0;
normal;60;0;
black;26;0;
modal;4;0;
nice;42;0;
particular;41;0;
text;94;0;
clearly;13;0;
fourth;3;0;
unclear;9;0;
easily;22;0;
accordingly;13;0;
consistent;5;0;
pretty;13;0;
behavior;15;0;
useful;23;0;
particularly;5;0;
extraordinarily;1;0;
painful;1;0;
template;18;0;
globally;4;0;
typically;3;0;
rather;56;0;
wondered;1;0;
inconvenient;3;0;
available;91;0;
compact;8;0;
accessible;4;0;
discrete;2;0;
completely;33;0;
reliably;5;0;
super;5;0;
relative;9;0;
simplified;7;0;
nicely;13;0;
far;69;0;
net;150;0;
